pp;kk;vvvv;askeleet
1;2;2022;10522
2;2;2022;11331
3;2;2022;3289
4;2;2022;4597
5;2;2022;3127
6;2;2022;7277
7;2;2022;4387
8;2;2022;10717
9;2;2022;7233
10;2;2022;10300
11;2;2022;5361
12;2;2022;9732
13;2;2022;10683
14;2;2022;10331
15;2;2022;9402
16;2;2022;3324
17;2;2022;3016
18;2;2022;4427
19;2;2022;6647
20;2;2022;10062
21;2;2022;3622
22;2;2022;7860
23;2;2022;7851
24;2;2022;8539
25;2;2022;5462
26;2;2022;4721
27;2;2022;9835
28;2;2022;8000
